"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25"
"1996",0.00684931480726039,0.0445503275129832,0.136267952834351,0.290486572297695,0.501989455318518,0.757417859363128,1.04055295606011,1.33586518734357,1.6303679738132,1.9142567551478,2.1808244829552,2.42602152371397,2.64789487658162,2.8460380760731,3.02111397383881,3.17447114007722,3.30785234663397,3.42318332987362,3.52242668110088,3.60748597393468,3.68014712679582,3.74204640470836,3.79465682072366,3.83928675306173,3.87708627247091
"2002",0.00685045176749766,0.0445489484265493,0.136246340557716,0.290413335159624,0.501826281336447,0.757126941160598,1.04010235563944,1.33523160526795,1.62953739922868,1.91322373830042,2.17959069327488,2.42459407072802,2.6462846881188,2.84425848700625,3.01917958368199,3.17239694093092,3.3056530933097,3.42087311187048,3.52001865422318,3.60499221283489,3.67757856553295,3.73941283875219,3.79196694977628,3.836548249197,3.87430586229234
"2004",0.00678407055907419,0.0446269255864251,0.137504869293536,0.294699494317311,0.511404674146565,0.774241626774425,1.06665731515366,1.37262356452165,1.67861422534664,1.97432515539973,2.25263220090657,2.50916568864168,2.74174688300853,2.94982599833773,3.1339895256946,3.2955609706131,3.43629523385383,3.5581555747607,3.66315813836258,3.75326896752851,3.83034016942174,3.89607427608718,3.95200821548198,3.99951041063208,4.03978625613676
"2010",0.00711156995784932,0.044191218198666,0.131227855690347,0.273743863756485,0.465129246184889,0.692272094211392,0.940341330639428,1.19575168809716,1.44755752267975,1.68780287298629,1.91129432574774,2.11512046180552,2.29811171328096,2.46034128718296,2.6027092533428,2.72661885796784,2.83373768387058,2.92582968436326,3.00464286192193,3.07183867660945,3.12895157255033,3.17736947185895,3.21832831531438,3.25291558433309,3.28207920212884
"2012",0.00786444427839069,0.0426591216726788,0.116009631593745,0.226919440112937,0.366743305045187,0.524229014087801,0.688706964629291,0.851576413564983,1.00668868310658,1.15015057786649,1.27989269738498,1.39519579082314,1.49626715953385,1.58390014648099,1.65921923342447,1.7234997884828,1.77804730281727,1.82412128234143,1.8628911482769,1.89541416434993,1.92262790511027,1.94535186571578,1.96429444426674,1.98006274714974,1.99317354970863
"2014",0.00683246646094777,0.0445705856288347,0.13658798754417,0.291572564285985,0.504411072170284,0.761737907694111,1.04724744271859,1.34528190201646,1.64271660402931,1.92961954591547,2.19917758676487,2.44725993278085,2.67185654235006,2.87252492179109,3.04990892096196,3.20535111790666,3.34059769884955,3.45758421482444,3.55828709236527,3.64462595672209,3.71840368001126,3.7812734645052,3.83472463311061,3.88008086683928,3.91850632123574
"2015",0.00680206485624785,0.0446062972986286,0.137164372234119,0.293535547778652,0.508797786730165,0.769576062972042,1.05940898830413,1.36240646894606,1.66519245679412,1.95760223387337,2.23262837994287,2.48599104631812,2.71557506915768,2.92087122243568,3.10248781190166,3.26175576207732,3.40042692674497,3.52045434929819,3.62383941227139,3.71253084673007,3.7883623606121,3.85301802643634,3.90801694015587,3.95471075194269,3.99428938661302
"2016",0.00677723357459841,0.044634664439963,0.137634115013125,0.295142149799633,0.512397221204295,0.776019479927695,1.06942117593598,1.37652155938146,1.68373719098835,1.98071062348954,2.26027300712984,2.51802022407659,2.75174911771047,2.96089428168276,3.14603376464518,3.30848814968489,3.45001343389331,3.5725767304225,3.67819979110114,3.76885525267522,3.84640224196573,3.91255034154872,3.96884329587812,4.01665594379831,4.05719960047829
"2017",0.00723899929973618,0.0439861447158548,0.128736310991186,0.26570763419061,0.447752128232017,0.661964003480409,0.894205390676037,1.1317988848956,1.36471857903462,1.58581957112532,1.79055645991029,1.97649247999046,2.14277405756849,2.28965786833269,2.41812398754498,2.52957949038797,2.62564295248479,2.70799523542206,2.77828151734369,2.83805122891958,2.88872498274223,2.93158002902682,2.96774791833411,2.99821980284409,3.02385616729952
"2018",0.00675373534029247,0.0446608480465264,0.138077793394787,0.296665266499367,0.515817211403294,0.782151638759075,1.07896196355802,1.38998627842538,1.70144315608599,2.00279054810828,2.28670453722541,2.54866128446584,2.78637256751038,2.99921840038448,3.18774716053228,3.35326894466783,3.49754325488025,3.6225503293862,3.73033117858103,3.82288116896681,3.90208367435572,3.96967266452465,4.02721548569197,4.07610920901787,4.11758567943579
"2019",0.00675437283266131,0.0446601461586167,0.138065767470306,0.296623909495723,0.515724251121204,0.781984829591698,1.07870227402779,1.38961960110353,1.70096077709545,2.00218879032068,2.28598396019867,2.54782572322163,2.78542818815673,2.99817286812617,3.18660895904806,3.3520468512561,3.49624595719577,3.62118616151228,3.728907952393,3.82140607833751,3.90056325288132,3.96811278101516,4.02562136508674,4.07448546937741,4.11593637813707
"2021",0.00679156855449118,0.0446183759339717,0.137363047531687,0.294214302723226,0.510317467479356,0.772295158618369,1.06363247776051,1.36835883826182,1.67301075559262,1.96734233673522,2.2442782278096,2.49948633018962,2.73081452108102,2.93773001246161,3.12082845632635,3.28143649739039,3.42130779505776,3.54240136457285,3.64672720059465,3.73624412483795,3.81279656437971,3.87807934238278,3.93362193738085,3.9807857635103,4.02076974952633
